Date;High price;Low price;Closing price;Turnover
2013-04-29;1200.2;1188.38;1198.11;9648545568
2013-04-30;1204.04;1198.33;1198.99;6324332734
2013-05-02;1197.1;1186.79;1194.42;11414040699
2013-05-03;1208.61;1190.94;1203.34;9721862777
2013-05-06;1207.2;1200;1205.17;5709401460
2013-05-07;1215.14;1207.19;1208.1;10280811003
2013-05-08;1221.83;1209.27;1221.83;5056711721
2013-05-10;1232.85;1223.37;1227.31;11405579501
2013-05-13;1230.48;1220.81;1223.89;8138823123
2013-05-14;1225.98;1218.35;1224.85;8268607766
2013-05-15;1230.4;1222.91;1230.12;7726928623
2013-05-16;1239.91;1228.82;1235;9786962323
2013-05-17;1244.67;1232.53;1244.25;10169919657
2013-05-20;1250.1;1240.04;1243.37;7766061215
2013-05-21;1248.16;1236.31;1248.14;9132803787
2013-05-22;1257.56;1246.28;1254.57;8960855426
2013-05-23;1234.17;1216.05;1224.45;12326736754
2013-05-24;1231.29;1214.82;1217.06;7775797686
2013-05-27;1231.68;1220.68;1231.68;4047434222
2013-05-28;1245.8;1236.4;1244.04;8148106093
2013-05-29;1238.24;1220.49;1222.37;8342726202
2013-05-30;1229.04;1216.66;1225.18;7842913064
2013-05-31;1225.55;1209.56;1214.77;11831853039
2013-06-03;1222.66;1202.39;1209.71;8464718503
2013-06-04;1220;1205.47;1207.56;7590901163
2013-06-05;1205.17;1182.77;1185.04;8816168432
2013-06-07;1197.98;1175.53;1192.98;11839145771
2013-06-10;1197.17;1188.91;1192.86;7737665064
2013-06-11;1190.97;1178.54;1184.62;10715016442
2013-06-12;1192.91;1176.53;1177.26;8319783982
2013-06-13;1174.03;1155.94;1173.57;10920852343
2013-06-14;1185.21;1174.42;1177.59;9601390158
2013-06-17;1196.45;1180.23;1191.39;7954887551
2013-06-18;1198.12;1183.4;1193.95;7737997458
2013-06-19;1192.21;1174.16;1174.84;17896939139
2013-06-20;1163.66;1137.12;1138.6;16290027303
2013-06-24;1129.34;1108.96;1112.14;13852624609
2013-06-25;1133.21;1117.88;1129.25;13183324646
2013-06-26;1147.82;1128.77;1144.78;9905927703
2013-06-27;1163.34;1144.07;1161;8935604437
2013-06-28;1166.36;1150.26;1151;10947331965
2013-07-01;1165.98;1150.39;1165.64;8904046712
2013-07-02;1167.34;1153.88;1161.38;8088329782
2013-07-03;1154.73;1141.9;1154.54;7293460062
2013-07-04;1178.3;1158.83;1175.22;8473918872
2013-07-05;1186.33;1164.84;1167.52;7588348602
2013-07-08;1186.96;1173.52;1182.64;6315376999
2013-07-09;1194.77;1185.18;1194.75;7781088363
2013-07-10;1197.34;1185.81;1195.31;7380481448
2013-07-11;1211.37;1204.89;1211.37;8385894467
2013-07-12;1216.92;1210.57;1210.73;7502633813
2013-07-15;1222.6;1213.89;1215.23;7555287819
2013-07-16;1219.69;1210.4;1212.62;9443834393
2013-07-17;1218.38;1205.71;1211.1;10519746381
2013-07-18;1219.57;1207.42;1217.57;12442594173
2013-07-19;1221.21;1208.71;1221.21;10822804167
2013-07-22;1225.17;1210.24;1213.38;7193843900
2013-07-23;1222.46;1215.05;1216.68;6893866691
2013-07-24;1232.61;1220.08;1230.34;7784160321
2013-07-25;1232.95;1220.73;1232.95;7297372238
2013-07-26;1237.26;1224.66;1227.86;5641767977
2013-07-29;1236.29;1224.89;1226.98;5122905460
2013-07-30;1238.78;1230.5;1236.86;5525214970
2013-07-31;1242.05;1233.3;1234.07;5741606230
2013-08-01;1248.38;1240.1;1248.38;5830411487
2013-08-02;1252.82;1246.06;1250.54;5344624414
2013-08-05;1253.65;1248.31;1251.77;4593385619
2013-08-06;1254;1239.95;1242.12;6785457668
2013-08-07;1244.3;1236.09;1240.41;6661345714
2013-08-08;1254.36;1245.08;1249.22;6706200309
2013-08-09;1258.07;1249.94;1253.79;6758354977
2013-08-12;1257.21;1250.02;1253.69;7115864237
2013-08-13;1263.57;1254.08;1260.44;8911384143
2013-08-14;1265.88;1260.2;1262.48;6500388517
2013-08-15;1258.72;1238.41;1245.35;7737317011
2013-08-16;1255.21;1240.83;1255.02;6757457941
2013-08-19;1257.45;1250.17;1250.84;8081381501
2013-08-20;1248.24;1236.69;1247.15;6923491808
2013-08-21;1250.03;1226.05;1226.05;8303832254
2013-08-22;1241.44;1226.56;1237.14;7382767599
2013-08-23;1243.82;1234.84;1243.82;6282943798
2013-08-26;1246.95;1234.91;1245.99;5753277960
2013-08-27;1241.41;1222.44;1224.85;9623754637
2013-08-28;1226.02;1206.12;1218.15;9100430420
2013-08-29;1225.53;1218.42;1224.31;7361654625
2013-08-30;1226.23;1214.02;1214.35;8467833462
2013-09-02;1232.38;1220.98;1230.88;6675217731
2013-09-03;1240.99;1226.22;1238.64;11694317287
2013-09-04;1244.59;1232.71;1242.52;7398796155
2013-09-05;1250.11;1241.59;1243.9;11092868098
2013-09-06;1250.13;1238.45;1249.05;11002963597
2013-09-09;1251.05;1242.49;1249.11;7144312718
2013-09-10;1268.25;1255.68;1268.22;10210123658
2013-09-11;1274.16;1265.86;1270.66;9182343597
2013-09-12;1271.38;1265.18;1268.3;9962979359
2013-09-13;1266.89;1262.21;1265.97;7436003674
2013-09-16;1279.99;1273.77;1278.41;9502293792
2013-09-17;1277.53;1273.62;1274.22;8006567732
2013-09-18;1277.12;1271.38;1276.74;8689508054
2013-09-19;1291.88;1282.92;1286.49;10745379064
2013-09-20;1287.01;1283.19;1285.78;8964083130
2013-09-23;1286.69;1273.34;1274.77;8118139306
2013-09-24;1282.73;1274.78;1282.73;10740373877
2013-09-25;1276.65;1263.03;1265.69;15127537241
2013-09-26;1277.41;1272.27;1275.23;12995633800
2013-09-27;1279.67;1266.24;1269.48;9030468177
2013-09-30;1262.14;1253.29;1259.6;10162238069
2013-10-01;1269.25;1258.62;1268.35;8176662110
2013-10-02;1265.28;1255.53;1260.24;8598319576
2013-10-03;1267.98;1254.57;1256.27;9028569864
2013-10-04;1258.83;1250.83;1251.39;8340233846
2013-10-07;1249.35;1239.26;1246.86;7702761024
2013-10-08;1247.85;1239.92;1241.82;9327264732
2013-10-09;1245.85;1234.04;1235.36;8658352173
2013-10-10;1261.62;1242.17;1260.52;8670220340
2013-10-11;1268.01;1260.24;1266.39;7383658276
2013-10-14;1262.01;1254.46;1258.72;6561981158
2013-10-15;1272.39;1262.5;1265.46;10616509081
2013-10-16;1266.94;1253.77;1266.01;9027880885
2013-10-17;1269.11;1257.99;1266.91;9964454575
2013-10-18;1283.9;1268.35;1283.9;9888790835
2013-10-21;1290.76;1284.24;1288.55;8610776035
2013-10-22;1300.92;1291.03;1300.23;13745768851
2013-10-23;1295.1;1288.79;1291.62;11205723253
2013-10-24;1298.66;1290.02;1298.6;11807955791
2013-10-25;1291.61;1284.31;1290.63;13670530427
2013-10-28;1294.97;1285.3;1288.42;9998508871
2013-10-29;1293.7;1285.01;1290.78;9391742233
2013-10-30;1295.6;1287.95;1291.14;8950882473
2013-10-31;1290.68;1281.88;1283.52;9462784795
2013-11-01;1285.49;1274.95;1278.42;4189177182
2013-11-04;1286.32;1279.73;1281.41;7266454288
2013-11-05;1285.29;1271.58;1274.07;8504881747
2013-11-06;1288.14;1275.12;1283.48;10448501345
2013-11-07;1296.48;1279.85;1284.69;11262301487
2013-11-08;1287.15;1274.95;1281.86;8313587684
2013-11-11;1287.99;1282.67;1287.71;5882797270
2013-11-12;1288.01;1278.91;1279.86;7897218677
2013-11-13;1278.37;1269.75;1274.7;8899707053
2013-11-14;1289.46;1281.84;1289.17;9161300923
2013-11-15;1296.76;1289.77;1295.93;9207893702
2013-11-18;1305.43;1293.43;1304.8;9040386305
2013-11-19;1301.17;1296.41;1299.51;6825080543
2013-11-20;1298.28;1289.67;1294.7;7641972923
2013-11-21;1290.58;1281.77;1290.5;7266145639
2013-11-22;1297.87;1290.45;1297.87;7432947856
2013-11-25;1306.13;1301.22;1306.13;6403957205
2013-11-26;1308.13;1304.07;1305.78;9221935133
2013-11-27;1311.47;1305.22;1310.13;5835214765
2013-11-28;1316.3;1310.71;1315.21;6346363927
2013-11-29;1314.85;1307.71;1307.71;9058665622
2013-12-02;1309.09;1301.11;1304.58;6702242471
2013-12-03;1305.11;1278.98;1281.32;10382610297
2013-12-04;1288.3;1269.42;1279.03;9444099445
2013-12-05;1284.2;1269.51;1269.51;8791645100
2013-12-06;1278.69;1263.3;1274.63;8840908555
2013-12-09;1284.78;1273.92;1283.35;9703723946
2013-12-10;1282.67;1266.96;1270.2;10222359368
2013-12-11;1276.29;1265.28;1268.05;8043182155
2013-12-12;1265.15;1253.23;1255;9736608655
2013-12-13;1261.81;1252.69;1255.71;8747137123
2013-12-16;1269.11;1254.13;1269.08;8908641247
2013-12-17;1275.01;1262.83;1263.26;8318813279
2013-12-18;1277.46;1268.49;1275.12;10207752725
2013-12-19;1300.89;1286.05;1300.89;12522626476
2013-12-20;1311.38;1296.56;1309.92;15588740486
2013-12-23;1320.56;1311.52;1320.56;7902083297
2013-12-27;1335.59;1326.66;1334.42;6158209581
2013-12-30;1338.53;1326.73;1332.95;7470252945
2014-01-02;1334.71;1320.76;1324.35;8665994837
2014-01-03;1330.69;1320.52;1325.12;5761827033
2014-01-07;1330.09;1323.37;1326.24;11532196416
2014-01-08;1332.22;1323.2;1324.83;10780865709
2014-01-09;1332.66;1322.3;1323.58;8927524004
2014-01-10;1334.47;1325.96;1329.84;9569294334
2014-01-13;1335.52;1328.33;1328.65;8561155441
2014-01-14;1325.51;1313.92;1323.89;11196684041
2014-01-15;1343.93;1329.39;1342.99;10611508436
2014-01-16;1345.22;1340.12;1342.65;10022620419
2014-01-17;1351.83;1341.12;1350.1;11141664658
2014-01-20;1352.78;1346.8;1350.98;7576563980
2014-01-21;1355.37;1348.66;1350.02;12170818359
2014-01-22;1358.55;1349.76;1355.24;12333189369
